2024-12-02-18_24_43  Epoch: 0, Training Step: 0, Loss: 19.78216552734375, Learning Rate: 5e-05
2024-12-02-18_25_45  Epoch: 0, Training Step: 100, Loss: 15.131797790527344, Learning Rate: 5e-05
2024-12-02-18_26_56  Epoch: 0, Training Step: 200, Loss: 9.63114070892334, Learning Rate: 5e-05
2024-12-02-18_28_02  Epoch: 0, Training Step: 300, Loss: 5.5344624519348145, Learning Rate: 5e-05
2024-12-02-18_29_05  Epoch: 0, Training Step: 400, Loss: 3.527930974960327, Learning Rate: 5e-05
2024-12-02-18_30_06  Epoch: 0, Training Step: 500, Loss: 2.583209991455078, Learning Rate: 5e-05
2024-12-02-18_31_13  Epoch: 0, Training Step: 600, Loss: 2.7712087631225586, Learning Rate: 5e-05
2024-12-02-18_32_22  Epoch: 0, Training Step: 700, Loss: 2.8547492027282715, Learning Rate: 5e-05
2024-12-02-18_33_30  Epoch: 0, Training Step: 800, Loss: 2.2364213466644287, Learning Rate: 5e-05
2024-12-02-18_34_38  Epoch: 0, Training Step: 900, Loss: 2.9488799571990967, Learning Rate: 5e-05
2024-12-02-18_35_52  Epoch: 0, Training Step: 1000, Loss: 2.781754493713379, Learning Rate: 5e-05
2024-12-02-18_37_05  Epoch: 0, Training Step: 1100, Loss: 2.4927430152893066, Learning Rate: 5e-05
2024-12-02-18_38_17  Epoch: 0, Training Step: 1200, Loss: 2.969803810119629, Learning Rate: 5e-05
2024-12-02-18_39_27  Epoch: 0, Training Step: 1300, Loss: 2.579331874847412, Learning Rate: 5e-05
2024-12-02-18_40_38  Epoch: 0, Training Step: 1400, Loss: 1.6965101957321167, Learning Rate: 5e-05
2024-12-02-18_41_42  Epoch: 0, Training Step: 1500, Loss: 2.3347127437591553, Learning Rate: 5e-05
2024-12-02-18_42_45  Epoch: 0, Training Step: 1600, Loss: 2.0277953147888184, Learning Rate: 5e-05
2024-12-02-18_43_50  Epoch: 0, Training Step: 1700, Loss: 2.1814563274383545, Learning Rate: 5e-05
2024-12-02-18_45_01  Epoch: 0, Training Step: 1800, Loss: 3.3553130626678467, Learning Rate: 5e-05
2024-12-02-18_46_04  Epoch: 0, Training Step: 1900, Loss: 1.6568241119384766, Learning Rate: 5e-05
2024-12-02-18_47_16  Epoch: 0, Training Step: 2000, Loss: 2.3228979110717773, Learning Rate: 5e-05
2024-12-02-18_48_28  Epoch: 0, Training Step: 2100, Loss: 2.624525308609009, Learning Rate: 5e-05
2024-12-02-18_49_32  Epoch: 0, Training Step: 2200, Loss: 3.1331541538238525, Learning Rate: 5e-05
2024-12-02-18_50_37  Epoch: 0, Training Step: 2300, Loss: 2.42820405960083, Learning Rate: 5e-05
2024-12-02-18_51_43  Epoch: 0, Training Step: 2400, Loss: 3.7413277626037598, Learning Rate: 5e-05
2024-12-02-18_52_46  Epoch: 0, Training Step: 2500, Loss: 2.416323661804199, Learning Rate: 5e-05
2024-12-02-18_53_49  Epoch: 0, Training Step: 2600, Loss: 2.5641300678253174, Learning Rate: 5e-05
2024-12-02-18_54_54  Epoch: 0, Training Step: 2700, Loss: 2.247093677520752, Learning Rate: 5e-05
2024-12-02-18_56_00  Epoch: 0, Training Step: 2800, Loss: 3.0495681762695312, Learning Rate: 5e-05
2024-12-03-11_22_17  Epoch: 0, Training Step: 0, Loss: 20.60380744934082, Learning Rate: 5e-05
2024-12-03-17_19_14  Epoch: 0, Training Step: 0, Loss: 20.660526275634766, Learning Rate: 5e-05
2024-12-03-17_20_09  Epoch: 1, Training Step: 0, Loss: 17.735986709594727, Learning Rate: 0.0001
2024-12-03-17_21_05  Epoch: 2, Training Step: 0, Loss: 8.088619232177734, Learning Rate: 0.00015
2024-12-03-17_22_00  Epoch: 3, Training Step: 0, Loss: 4.841802597045898, Learning Rate: 0.0002
2024-12-03-17_22_54  Epoch: 4, Training Step: 0, Loss: 3.2884926795959473, Learning Rate: 0.00025
2024-12-03-17_23_49  Epoch: 5, Training Step: 0, Loss: 2.4946932792663574, Learning Rate: 0.0003
2024-12-03-17_24_43  Epoch: 6, Training Step: 0, Loss: 3.9259660243988037, Learning Rate: 0.00035
2024-12-03-17_25_38  Epoch: 7, Training Step: 0, Loss: 2.384064197540283, Learning Rate: 0.0004
2024-12-03-17_26_33  Epoch: 8, Training Step: 0, Loss: 2.883326530456543, Learning Rate: 0.00045000000000000004
2024-12-03-17_27_27  Epoch: 9, Training Step: 0, Loss: 2.7352993488311768, Learning Rate: 0.0005
2024-12-03-17_28_21  Epoch: 10, Training Step: 0, Loss: 2.802903175354004, Learning Rate: 0.0005
2024-12-03-17_29_15  Epoch: 11, Training Step: 0, Loss: 2.7088522911071777, Learning Rate: 0.0005
2024-12-03-17_30_11  Epoch: 12, Training Step: 0, Loss: 3.014146566390991, Learning Rate: 0.0005
2024-12-03-17_31_05  Epoch: 13, Training Step: 0, Loss: 1.947171688079834, Learning Rate: 0.0005
2024-12-03-17_32_00  Epoch: 14, Training Step: 0, Loss: 3.7708792686462402, Learning Rate: 0.0005
2024-12-03-17_32_54  Epoch: 15, Training Step: 0, Loss: 3.4478683471679688, Learning Rate: 0.0005
2024-12-03-17_33_51  Epoch: 16, Training Step: 0, Loss: 2.5000720024108887, Learning Rate: 0.0005
2024-12-03-17_34_45  Epoch: 17, Training Step: 0, Loss: 3.575867176055908, Learning Rate: 0.0005
2024-12-03-17_35_41  Epoch: 18, Training Step: 0, Loss: 2.609288454055786, Learning Rate: 0.0005
2024-12-03-17_36_36  Epoch: 19, Training Step: 0, Loss: 2.6254141330718994, Learning Rate: 0.0005
2024-12-03-17_37_31  Epoch: 20, Training Step: 0, Loss: 2.6838133335113525, Learning Rate: 0.00025
2024-12-03-17_38_25  Epoch: 21, Training Step: 0, Loss: 3.359473466873169, Learning Rate: 0.00025
2024-12-03-17_39_19  Epoch: 22, Training Step: 0, Loss: 3.0297117233276367, Learning Rate: 0.00025
2024-12-03-17_40_13  Epoch: 23, Training Step: 0, Loss: 1.7473312616348267, Learning Rate: 0.00025
2024-12-03-17_41_07  Epoch: 24, Training Step: 0, Loss: 2.776749610900879, Learning Rate: 0.00025
2024-12-03-17_42_02  Epoch: 25, Training Step: 0, Loss: 2.4474270343780518, Learning Rate: 0.00025
2024-12-03-17_42_57  Epoch: 26, Training Step: 0, Loss: 1.6925793886184692, Learning Rate: 0.00025
2024-12-03-17_43_50  Epoch: 27, Training Step: 0, Loss: 1.737638235092163, Learning Rate: 0.00025
2024-12-03-17_44_45  Epoch: 28, Training Step: 0, Loss: 2.223705768585205, Learning Rate: 0.00025
2024-12-03-17_45_40  Epoch: 29, Training Step: 0, Loss: 3.036017417907715, Learning Rate: 0.00025
2024-12-03-17_46_35  Epoch: 30, Training Step: 0, Loss: 2.4313395023345947, Learning Rate: 0.000125
2024-12-03-17_47_29  Epoch: 31, Training Step: 0, Loss: 1.6562831401824951, Learning Rate: 0.000125
2024-12-03-17_48_23  Epoch: 32, Training Step: 0, Loss: 2.050152540206909, Learning Rate: 0.000125
2024-12-03-17_49_17  Epoch: 33, Training Step: 0, Loss: 2.226559638977051, Learning Rate: 0.000125
2024-12-03-17_50_11  Epoch: 34, Training Step: 0, Loss: 2.4474236965179443, Learning Rate: 0.000125
2024-12-03-17_51_07  Epoch: 35, Training Step: 0, Loss: 1.6713947057724, Learning Rate: 0.000125
2024-12-03-17_52_01  Epoch: 36, Training Step: 0, Loss: 1.7908129692077637, Learning Rate: 0.000125
2024-12-03-17_52_57  Epoch: 37, Training Step: 0, Loss: 3.1481378078460693, Learning Rate: 0.000125
2024-12-03-17_53_52  Epoch: 38, Training Step: 0, Loss: 2.114708185195923, Learning Rate: 0.000125
2024-12-03-17_54_46  Epoch: 39, Training Step: 0, Loss: 2.3948113918304443, Learning Rate: 0.000125
2024-12-03-17_55_41  Epoch: 40, Training Step: 0, Loss: 2.2214503288269043, Learning Rate: 6.25e-05
2024-12-03-17_56_35  Epoch: 41, Training Step: 0, Loss: 1.9272185564041138, Learning Rate: 6.25e-05
2024-12-03-17_57_30  Epoch: 42, Training Step: 0, Loss: 3.092332601547241, Learning Rate: 6.25e-05
2024-12-03-17_58_24  Epoch: 43, Training Step: 0, Loss: 1.5994831323623657, Learning Rate: 6.25e-05
2024-12-03-17_59_18  Epoch: 44, Training Step: 0, Loss: 2.0129804611206055, Learning Rate: 6.25e-05
2024-12-03-18_00_13  Epoch: 45, Training Step: 0, Loss: 2.4540414810180664, Learning Rate: 6.25e-05
2024-12-03-18_01_07  Epoch: 46, Training Step: 0, Loss: 2.3335299491882324, Learning Rate: 6.25e-05
2024-12-03-18_02_01  Epoch: 47, Training Step: 0, Loss: 1.9099130630493164, Learning Rate: 6.25e-05
2024-12-03-18_02_55  Epoch: 48, Training Step: 0, Loss: 2.959355354309082, Learning Rate: 6.25e-05
2024-12-03-18_03_49  Epoch: 49, Training Step: 0, Loss: 2.234370708465576, Learning Rate: 6.25e-05
2024-12-03-18_04_44  Epoch: 50, Training Step: 0, Loss: 1.7266407012939453, Learning Rate: 3.125e-05
